date,price
1/04/2026,$102.05
31/03/2026,$101.38
30/03/2026,$106.38
27/03/2026,$99.64
26/03/2026,$93.79
25/03/2026,$90.32
24/03/2026,$88.78
23/03/2026,$89.33
20/03/2026,$98.71
19/03/2026,$96.11
18/03/2026,$96.12
17/03/2026,$96.01
16/03/2026,$93.39
13/03/2026,$98.48
12/03/2026,$95.61
11/03/2026,$86.80
10/03/2026,$83.71
9/03/2026,$94.65
6/03/2026,$90.77
5/03/2026,$80.88
4/03/2026,$74.58
3/03/2026,$74.48
2/03/2026,$71.13
27/02/2026,$66.96
26/02/2026,$65.10
25/02/2026,$65.30
24/02/2026,$65.62
23/02/2026,$66.36
20/02/2026,$66.69
19/02/2026,$66.66
18/02/2026,$65.33
17/02/2026,$62.53
16/02/2026,$63.73
13/02/2026,$63.05
12/02/2026,$63.08
11/02/2026,$64.80
10/02/2026,$64.20
9/02/2026,$64.53
6/02/2026,$63.77
5/02/2026,$62.90
4/02/2026,$64.56
3/02/2026,$62.62
2/02/2026,$61.60
30/01/2026,$64.50
29/01/2026,$64.77
28/01/2026,$62.75
27/01/2026,$62.04
26/01/2026,$60.46
23/01/2026,$60.70
22/01/2026,$59.24
21/01/2026,$60.38
20/01/2026,$60.30
19/01/2026,$59.43
16/01/2026,$59.40
15/01/2026,$59.13
14/01/2026,$61.84
13/01/2026,$60.85
12/01/2026,$59.39
9/01/2026,$58.96
8/01/2026,$57.74
7/01/2026,$56.01
6/01/2026,$56.97
5/01/2026,$58.10
2/01/2026,$57.21
1/01/2026,$57.41
31/12/2025,$57.26
30/12/2025,$57.79
29/12/2025,$57.89
26/12/2025,$56.60
25/12/2025,$58.35
24/12/2025,$58.72
23/12/2025,$58.55
22/12/2025,$58.18
19/12/2025,$56.80
18/12/2025,$56.22
17/12/2025,$56.07
16/12/2025,$55.44
15/12/2025,$56.97
12/12/2025,$57.61
11/12/2025,$57.76
10/12/2025,$58.67
9/12/2025,$58.40
8/12/2025,$59.04
5/12/2025,$60.23
4/12/2025,$59.82
3/12/2025,$59.09
2/12/2025,$58.81
1/12/2025,$59.47
28/11/2025,$58.58
27/11/2025,$59.10
26/11/2025,$58.81
25/11/2025,$58.25
24/11/2025,$59.11
21/11/2025,$58.86
20/11/2025,$60.07
19/11/2025,$60.27
18/11/2025,$61.51
17/11/2025,$60.66
14/11/2025,$60.87
13/11/2025,$59.54
12/11/2025,$59.30
11/11/2025,$61.04
10/11/2025,$60.94
7/11/2025,$60.54
6/11/2025,$60.24
5/11/2025,$60.40
4/11/2025,$61.38
3/11/2025,$61.79
31/10/2025,$61.75
30/10/2025,$61.36
29/10/2025,$61.26
28/10/2025,$60.97
27/10/2025,$62.13
24/10/2025,$62.27
23/10/2025,$62.44
22/10/2025,$59.30
21/10/2025,$58.66
20/10/2025,$58.34
17/10/2025,$58.30
16/10/2025,$58.29
15/10/2025,$59.08
14/10/2025,$59.52
13/10/2025,$59.56
10/10/2025,$59.75
9/10/2025,$62.36
8/10/2025,$63.37
7/10/2025,$62.52
6/10/2025,$62.49
3/10/2025,$61.65
2/10/2025,$61.28
1/10/2025,$62.59
30/09/2025,$63.17
29/09/2025,$64.27
26/09/2025,$66.50
25/09/2025,$65.51
24/09/2025,$65.40
23/09/2025,$63.76
22/09/2025,$62.99
19/09/2025,$63.02
18/09/2025,$63.91
17/09/2025,$64.41
16/09/2025,$64.89
15/09/2025,$63.66
12/09/2025,$63.02
11/09/2025,$62.71
10/09/2025,$64.01
9/09/2025,$62.97
8/09/2025,$62.19
5/09/2025,$63.33
4/09/2025,$63.77
3/09/2025,$63.79
2/09/2025,$64.61
1/09/2025,$63.93
29/08/2025,$64.21
28/08/2025,$63.78
27/08/2025,$63.45
26/08/2025,$64.69
25/08/2025,$63.75
22/08/2025,$63.48
21/08/2025,$63.49
20/08/2025,$62.60
19/08/2025,$63.37
18/08/2025,$62.63
15/08/2025,$63.90
14/08/2025,$62.80
13/08/2025,$63.16
12/08/2025,$64.09
11/08/2025,$64.09
8/08/2025,$63.86
7/08/2025,$64.32
6/08/2025,$64.32
5/08/2025,$66.28
4/08/2025,$66.27
1/08/2025,$69.34
31/07/2025,$70.31
30/07/2025,$69.19
29/07/2025,$66.96
