date,brisbane_tgp
2004-01-01,86.4
2004-01-02,86.4
2004-01-05,86.4
2004-01-06,87.0
2004-01-07,87.0
2004-01-08,87.0
2004-01-09,88.3
2004-01-12,88.3
2004-01-13,89.3
2004-01-14,89.3
2004-01-15,89.3
2004-01-16,90.7
2004-01-19,90.7
2004-01-20,90.5
2004-01-21,90.5
2004-01-22,90.5
2004-01-23,89.0
2004-01-26,89.0
2004-01-27,89.0
2004-01-28,87.9
2004-01-29,87.9
2004-01-30,86.6
2004-02-02,86.6
2004-02-03,86.2
2004-02-04,86.2
2004-02-05,86.2
2004-02-06,85.4
2004-02-09,85.4
2004-02-10,84.9
2004-02-11,84.9
2004-02-12,84.9
2004-02-13,83.4
2004-02-16,83.4
2004-02-17,82.7
2004-02-18,82.7
2004-02-19,82.7
2004-02-20,83.0
2004-02-23,83.0
2004-02-24,84.2
2004-02-25,84.2
2004-02-26,84.2
2004-02-27,86.3
2004-03-01,86.3
2004-03-02,87.7
2004-03-03,87.7
2004-03-04,87.7
2004-03-05,88.9
2004-03-08,88.9
2004-03-09,89.1
2004-03-10,89.8
2004-03-11,89.8
2004-03-12,90.1
2004-03-15,90.1
2004-03-16,90.4
2004-03-17,90.4
2004-03-18,90.4
2004-03-19,90.3
2004-03-22,90.7
2004-03-23,90.7
2004-03-24,90.7
2004-03-25,90.7
2004-03-26,90.1
2004-03-29,90.1
2004-03-30,90.0
2004-03-31,90.0
2004-04-01,90.0
2004-04-02,90.3
2004-04-05,90.3
2004-04-06,90.1
2004-04-07,90.1
2004-04-08,90.1
2004-04-09,89.6
2004-04-12,89.6
2004-04-13,89.6
2004-04-14,89.6
2004-04-15,89.4
2004-04-16,89.0
2004-04-19,89.0
2004-04-20,89.4
2004-04-21,89.4
2004-04-22,89.4
2004-04-23,89.8
2004-04-26,89.8
2004-04-27,89.8
2004-04-28,90.4
2004-04-29,90.4
2004-04-30,90.7
2004-05-03,90.7
2004-05-04,91.7
2004-05-05,91.7
2004-05-06,91.7
2004-05-07,93.7
2004-05-10,93.7
2004-05-11,95.5
2004-05-12,95.5
2004-05-13,95.5
2004-05-14,96.7
