date,sydney_tgp
2004-01-01,86.3
2004-01-02,86.3
2004-01-05,86.4
2004-01-06,86.8
2004-01-07,86.7
2004-01-08,86.7
2004-01-09,87.7
2004-01-12,87.8
2004-01-13,88.9
2004-01-14,89.0
2004-01-15,89.0
2004-01-16,90.1
2004-01-19,90.2
2004-01-20,90.1
2004-01-21,89.9
2004-01-22,89.9
2004-01-23,88.7
2004-01-26,88.6
2004-01-27,88.6
2004-01-28,87.5
2004-01-29,87.5
2004-01-30,86.4
2004-02-02,86.2
2004-02-03,85.6
2004-02-04,85.6
2004-02-05,85.7
2004-02-06,85.1
2004-02-09,85.0
2004-02-10,84.4
2004-02-11,84.3
2004-02-12,84.3
2004-02-13,83.2
2004-02-16,83.0
2004-02-17,82.4
2004-02-18,82.5
2004-02-19,82.5
2004-02-20,82.8
2004-02-23,82.9
2004-02-24,84.1
2004-02-25,84.2
2004-02-26,84.4
2004-02-27,86.4
2004-03-01,86.4
2004-03-02,87.7
2004-03-03,87.5
2004-03-04,87.6
2004-03-05,88.5
2004-03-08,88.6
2004-03-09,88.8
2004-03-10,89.3
2004-03-11,89.3
2004-03-12,89.5
2004-03-15,89.5
2004-03-16,89.7
2004-03-17,89.9
2004-03-18,89.9
2004-03-19,89.8
2004-03-22,90.1
2004-03-23,90.1
2004-03-24,90.1
2004-03-25,90.1
2004-03-26,89.6
2004-03-29,89.6
2004-03-30,89.6
2004-03-31,89.6
2004-04-01,89.6
2004-04-02,89.9
2004-04-05,89.9
2004-04-06,89.6
2004-04-07,89.6
2004-04-08,89.6
2004-04-09,89.1
2004-04-12,89.1
2004-04-13,89.1
2004-04-14,89.1
2004-04-15,88.9
2004-04-16,88.7
2004-04-19,88.7
2004-04-20,89.1
2004-04-21,89.1
2004-04-22,89.1
2004-04-23,89.5
2004-04-26,89.5
2004-04-27,89.5
2004-04-28,89.9
2004-04-29,89.9
2004-04-30,90.2
2004-05-03,90.2
2004-05-04,91.1
2004-05-05,91.1
2004-05-06,91.1
2004-05-07,93.0
2004-05-10,93.0
